prompt,context,gender,age,occupation,target_mid,target_title
"User profile (audit only):
- gender: M
- age: 56+
- occupation: programmer

Watch history:
1. One Flew Over the Cuckoo's Nest (1975)
2. Mr. Holland's Opus (1995)
3. E.T. the Extra-Terrestrial (1982)
4. Star Wars: Episode V - The Empire Strikes Back (1980)
5. Star Trek: First Contact (1996)
6. Haunted World of Edward D. Wood Jr., The (1995)
7. Held Up (2000)
8. American Beauty (1999)
9. Topsy-Turvy (1999)
10. Talented Mr. Ripley, The (1999)

Task:
Recommend the next 10 items the user would like, as a ranked list.
Return ONLY a JSON array of item titles (strings), length = 10.
","Watch history:
1. One Flew Over the Cuckoo's Nest (1975)
2. Mr. Holland's Opus (1995)
3. E.T. the Extra-Terrestrial (1982)
4. Star Wars: Episode V - The Empire Strikes Back (1980)
5. Star Trek: First Contact (1996)
6. Haunted World of Edward D. Wood Jr., The (1995)
7. Held Up (2000)
8. American Beauty (1999)
9. Topsy-Turvy (1999)
10. Talented Mr. Ripley, The (1999)",M,56+,programmer,3186,"Girl, Interrupted (1999)"
"User profile (audit only):
- gender: M
- age: 45-49
- occupation: academic/educator

Watch history:
1. Galaxy Quest (1999)
2. Frequency (2000)
3. Fight Club (1999)
4. House on Haunted Hill, The (1999)
5. Ghostbusters (1984)
6. Haunting, The (1999)
7. Gladiator (2000)
8. Instinct (1999)
9. I Saw What You Did (1965)
10. Jack Frost (1998)

Task:
Recommend the next 10 items the user would like, as a ranked list.
Return ONLY a JSON array of item titles (strings), length = 10.
","Watch history:
1. Galaxy Quest (1999)
2. Frequency (2000)
3. Fight Club (1999)
4. House on Haunted Hill, The (1999)
5. Ghostbusters (1984)
6. Haunting, The (1999)
7. Gladiator (2000)
8. Instinct (1999)
9. I Saw What You Did (1965)
10. Jack Frost (1998)",M,45-49,academic/educator,913,"Maltese Falcon, The (1941)"
"User profile (audit only):
- gender: M
- age: 25-34
- occupation: artist

Watch history:
1. Suspicion (1941)
2. Spellbound (1945)
3. Rope (1948)
4. Touch of Evil (1958)
5. Rebel Without a Cause (1955)
6. 400 Blows, The (Les Quatre cents coups) (1959)
7. High Noon (1952)
8. Vertigo (1958)
9. To Catch a Thief (1955)
10. Man Who Knew Too Much, The (1956)

Task:
Recommend the next 10 items the user would like, as a ranked list.
Return ONLY a JSON array of item titles (strings), length = 10.
","Watch history:
1. Suspicion (1941)
2. Spellbound (1945)
3. Rope (1948)
4. Touch of Evil (1958)
5. Rebel Without a Cause (1955)
6. 400 Blows, The (Les Quatre cents coups) (1959)
7. High Noon (1952)
8. Vertigo (1958)
9. To Catch a Thief (1955)
10. Man Who Knew Too Much, The (1956)",M,25-34,artist,1924,Plan 9 from Outer Space (1958)
"User profile (audit only):
- gender: F
- age: Under 18
- occupation: K-12 student

Watch history:
1. Jumanji (1995)
2. Dragonheart (1996)
3. Simple Wish, A (1997)
4. Indian in the Cupboard, The (1995)
5. Star Wars: Episode I - The Phantom Menace (1999)
6. Hook (1991)
7. Santa Clause, The (1994)
8. Flubber (1997)
9. Urban Legend (1998)
10. Out of Sight (1998)

Task:
Recommend the next 10 items the user would like, as a ranked list.
Return ONLY a JSON array of item titles (strings), length = 10.
","Watch history:
1. Jumanji (1995)
2. Dragonheart (1996)
3. Simple Wish, A (1997)
4. Indian in the Cupboard, The (1995)
5. Star Wars: Episode I - The Phantom Menace (1999)
6. Hook (1991)
7. Santa Clause, The (1994)
8. Flubber (1997)
9. Urban Legend (1998)
10. Out of Sight (1998)",F,Under 18,K-12 student,1680,Sliding Doors (1998)
"User profile (audit only):
- gender: M
- age: 50-55
- occupation: academic/educator

Watch history:
1. Elizabeth (1998)
2. Doctor Dolittle (1998)
3. Election (1999)
4. Diner (1982)
5. Galaxy Quest (1999)
6. Ideal Husband, An (1999)
7. Gods and Monsters (1998)
8. Haunting, The (1999)
9. Inspector Gadget (1999)
10. Maltese Falcon, The (1941)

Task:
Recommend the next 10 items the user would like, as a ranked list.
Return ONLY a JSON array of item titles (strings), length = 10.
","Watch history:
1. Elizabeth (1998)
2. Doctor Dolittle (1998)
3. Election (1999)
4. Diner (1982)
5. Galaxy Quest (1999)
6. Ideal Husband, An (1999)
7. Gods and Monsters (1998)
8. Haunting, The (1999)
9. Inspector Gadget (1999)
10. Maltese Falcon, The (1941)",M,50-55,academic/educator,785,Kingpin (1996)
"User profile (audit only):
- gender: M
- age: 45-49
- occupation: technician/engineer

Watch history:
1. Star Wars: Episode I - The Phantom Menace (1999)
2. Superman II (1980)
3. Shaft (1971)
4. Moonraker (1979)
5. Escape from the Planet of the Apes (1971)
6. King Kong (1976)
7. Beneath the Planet of the Apes (1970)
8. Rocky II (1979)
9. Teenage Mutant Ninja Turtles (1990)
10. Lost World: Jurassic Park, The (1997)

Task:
Recommend the next 10 items the user would like, as a ranked list.
Return ONLY a JSON array of item titles (strings), length = 10.
","Watch history:
1. Star Wars: Episode I - The Phantom Menace (1999)
2. Superman II (1980)
3. Shaft (1971)
4. Moonraker (1979)
5. Escape from the Planet of the Apes (1971)
6. King Kong (1976)
7. Beneath the Planet of the Apes (1970)
8. Rocky II (1979)
9. Teenage Mutant Ninja Turtles (1990)
10. Lost World: Jurassic Park, The (1997)",M,45-49,technician/engineer,2422,"Karate Kid III, The (1989)"
"User profile (audit only):
- gender: M
- age: 25-34
- occupation: sales/marketing

Watch history:
1. Deliverance (1972)
2. When Harry Met Sally... (1989)
3. South Park: Bigger, Longer and Uncut (1999)
4. Fugitive, The (1993)
5. JFK (1991)
6. Jungle Book, The (1967)
7. Pee-wee's Big Adventure (1985)
8. Outlaw Josey Wales, The (1976)
9. Reservoir Dogs (1992)
10. Ferris Bueller's Day Off (1986)

Task:
Recommend the next 10 items the user would like, as a ranked list.
Return ONLY a JSON array of item titles (strings), length = 10.
","Watch history:
1. Deliverance (1972)
2. When Harry Met Sally... (1989)
3. South Park: Bigger, Longer and Uncut (1999)
4. Fugitive, The (1993)
5. JFK (1991)
6. Jungle Book, The (1967)
7. Pee-wee's Big Adventure (1985)
8. Outlaw Josey Wales, The (1976)
9. Reservoir Dogs (1992)
10. Ferris Bueller's Day Off (1986)",M,25-34,sales/marketing,1663,Stripes (1981)
"User profile (audit only):
- gender: M
- age: 18-24
- occupation: other

Watch history:
1. D3: The Mighty Ducks (1996)
2. Spy Hard (1996)
3. Stay Tuned (1992)
4. Angels in the Outfield (1994)
5. City Slickers II: The Legend of Curly's Gold (1994)
6. Two if by Sea (1996)
7. Stupids, The (1996)
8. Beverly Hillbillies, The (1993)
9. Almost Heroes (1998)
10. Home Alone 2: Lost in New York (1992)

Task:
Recommend the next 10 items the user would like, as a ranked list.
Return ONLY a JSON array of item titles (strings), length = 10.
","Watch history:
1. D3: The Mighty Ducks (1996)
2. Spy Hard (1996)
3. Stay Tuned (1992)
4. Angels in the Outfield (1994)
5. City Slickers II: The Legend of Curly's Gold (1994)
6. Two if by Sea (1996)
7. Stupids, The (1996)
8. Beverly Hillbillies, The (1993)
9. Almost Heroes (1998)
10. Home Alone 2: Lost in New York (1992)",M,18-24,other,881,First Kid (1996)
"User profile (audit only):
- gender: M
- age: 25-34
- occupation: academic/educator

Watch history:
1. Independence Day (ID4) (1996)
2. Dante's Peak (1997)
3. Young Poisoner's Handbook, The (1995)
4. Once Were Warriors (1994)
5. Devil in a Blue Dress (1995)
6. GoodFellas (1990)
7. Go (1999)
8. Limey, The (1999)
9. King of New York (1990)
10. Cop Land (1997)

Task:
Recommend the next 10 items the user would like, as a ranked list.
Return ONLY a JSON array of item titles (strings), length = 10.
","Watch history:
1. Independence Day (ID4) (1996)
2. Dante's Peak (1997)
3. Young Poisoner's Handbook, The (1995)
4. Once Were Warriors (1994)
5. Devil in a Blue Dress (1995)
6. GoodFellas (1990)
7. Go (1999)
8. Limey, The (1999)
9. King of New York (1990)
10. Cop Land (1997)",M,25-34,academic/educator,1466,Donnie Brasco (1997)
"User profile (audit only):
- gender: M
- age: 25-34
- occupation: programmer

Watch history:
1. Schindler's List (1993)
2. Casablanca (1942)
3. Double Indemnity (1944)
4. Wrong Trousers, The (1993)
5. Grapes of Wrath, The (1940)
6. Breaker Morant (1980)
7. Third Man, The (1949)
8. Annie Hall (1977)
9. Seventh Seal, The (Sjunde inseglet, Det) (1957)
10. Raise the Red Lantern (1991)

Task:
Recommend the next 10 items the user would like, as a ranked list.
Return ONLY a JSON array of item titles (strings), length = 10.
","Watch history:
1. Schindler's List (1993)
2. Casablanca (1942)
3. Double Indemnity (1944)
4. Wrong Trousers, The (1993)
5. Grapes of Wrath, The (1940)
6. Breaker Morant (1980)
7. Third Man, The (1949)
8. Annie Hall (1977)
9. Seventh Seal, The (Sjunde inseglet, Det) (1957)
10. Raise the Red Lantern (1991)",M,25-34,programmer,910,Some Like It Hot (1959)
"User profile (audit only):
- gender: M
- age: 25-34
- occupation: executive/managerial

Watch history:
1. Apocalypse Now (1979)
2. Platoon (1986)
3. Three Kings (1999)
4. Crimson Tide (1995)
5. Reservoir Dogs (1992)
6. Sixth Sense, The (1999)
7. Game, The (1997)
8. GoodFellas (1990)
9. Cop Land (1997)
10. Down Periscope (1996)

Task:
Recommend the next 10 items the user would like, as a ranked list.
Return ONLY a JSON array of item titles (strings), length = 10.
","Watch history:
1. Apocalypse Now (1979)
2. Platoon (1986)
3. Three Kings (1999)
4. Crimson Tide (1995)
5. Reservoir Dogs (1992)
6. Sixth Sense, The (1999)
7. Game, The (1997)
8. GoodFellas (1990)
9. Cop Land (1997)
10. Down Periscope (1996)",M,25-34,executive/managerial,608,Fargo (1996)
"User profile (audit only):
- gender: M
- age: 35-44
- occupation: executive/managerial

Watch history:
1. Close Encounters of the Third Kind (1977)
2. Apocalypse Now (1979)
3. Platoon (1986)
4. Gandhi (1982)
5. Rebel Without a Cause (1955)
6. Matewan (1987)
7. Glory (1989)
8. Cool Hand Luke (1967)
9. Do the Right Thing (1989)
10. Right Stuff, The (1983)

Task:
Recommend the next 10 items the user would like, as a ranked list.
Return ONLY a JSON array of item titles (strings), length = 10.
","Watch history:
1. Close Encounters of the Third Kind (1977)
2. Apocalypse Now (1979)
3. Platoon (1986)
4. Gandhi (1982)
5. Rebel Without a Cause (1955)
6. Matewan (1987)
7. Glory (1989)
8. Cool Hand Luke (1967)
9. Do the Right Thing (1989)
10. Right Stuff, The (1983)",M,35-44,executive/managerial,1272,Patton (1970)
"User profile (audit only):
- gender: M
- age: 25-34
- occupation: other

Watch history:
1. Birds, The (1963)
2. Ghostbusters (1984)
3. Carrie (1976)
4. Halloween (1978)
5. Dead Zone, The (1983)
6. Misery (1990)
7. Jacob's Ladder (1990)
8. Poltergeist (1982)
9. Little Shop of Horrors, The (1960)
10. Bram Stoker's Dracula (1992)

Task:
Recommend the next 10 items the user would like, as a ranked list.
Return ONLY a JSON array of item titles (strings), length = 10.
","Watch history:
1. Birds, The (1963)
2. Ghostbusters (1984)
3. Carrie (1976)
4. Halloween (1978)
5. Dead Zone, The (1983)
6. Misery (1990)
7. Jacob's Ladder (1990)
8. Poltergeist (1982)
9. Little Shop of Horrors, The (1960)
10. Bram Stoker's Dracula (1992)",M,25-34,other,1288,This Is Spinal Tap (1984)
"User profile (audit only):
- gender: F
- age: 25-34
- occupation: clerical/admin

Watch history:
1. Idle Hands (1999)
2. Gremlins (1984)
3. Puppet Master (1989)
4. Fog, The (1980)
5. Friday the 13th (1980)
6. Faculty, The (1998)
7. Audrey Rose (1977)
8. Craft, The (1996)
9. Amityville Horror, The (1979)
10. Serial Mom (1994)

Task:
Recommend the next 10 items the user would like, as a ranked list.
Return ONLY a JSON array of item titles (strings), length = 10.
","Watch history:
1. Idle Hands (1999)
2. Gremlins (1984)
3. Puppet Master (1989)
4. Fog, The (1980)
5. Friday the 13th (1980)
6. Faculty, The (1998)
7. Audrey Rose (1977)
8. Craft, The (1996)
9. Amityville Horror, The (1979)
10. Serial Mom (1994)",F,25-34,clerical/admin,1987,Prom Night (1980)
"User profile (audit only):
- gender: F
- age: 50-55
- occupation: writer

Watch history:
1. Jennifer 8 (1992)
2. Miracle on 34th Street (1994)
3. Honey, I Blew Up the Kid (1992)
4. Robocop 2 (1990)
5. D3: The Mighty Ducks (1996)
6. Ace Ventura: When Nature Calls (1995)
7. Speed 2: Cruise Control (1997)
8. Bride of Chucky (1998)
9. Beautician and the Beast, The (1997)
10. Spellbound (1945)

Task:
Recommend the next 10 items the user would like, as a ranked list.
Return ONLY a JSON array of item titles (strings), length = 10.
","Watch history:
1. Jennifer 8 (1992)
2. Miracle on 34th Street (1994)
3. Honey, I Blew Up the Kid (1992)
4. Robocop 2 (1990)
5. D3: The Mighty Ducks (1996)
6. Ace Ventura: When Nature Calls (1995)
7. Speed 2: Cruise Control (1997)
8. Bride of Chucky (1998)
9. Beautician and the Beast, The (1997)
10. Spellbound (1945)",F,50-55,writer,1163,Mina Tannenbaum (1994)
"User profile (audit only):
- gender: M
- age: 25-34
- occupation: programmer

Watch history:
1. Babes in Toyland (1961)
2. Mrs. Doubtfire (1993)
3. Home Alone (1990)
4. Robocop 2 (1990)
5. Black Hole, The (1979)
6. Scream 2 (1997)
7. Dick Tracy (1990)
8. Scream 3 (2000)
9. Wayne's World 2 (1993)
10. Trigger Effect, The (1996)

Task:
Recommend the next 10 items the user would like, as a ranked list.
Return ONLY a JSON array of item titles (strings), length = 10.
","Watch history:
1. Babes in Toyland (1961)
2. Mrs. Doubtfire (1993)
3. Home Alone (1990)
4. Robocop 2 (1990)
5. Black Hole, The (1979)
6. Scream 2 (1997)
7. Dick Tracy (1990)
8. Scream 3 (2000)
9. Wayne's World 2 (1993)
10. Trigger Effect, The (1996)",M,25-34,programmer,1646,Rocket Man (1997)
"User profile (audit only):
- gender: M
- age: 25-34
- occupation: college/grad student

Watch history:
1. Fletch (1985)
2. Night Shift (1982)
3. Mr. Mom (1983)
4. Cocoon (1985)
5. Scrooged (1988)
6. Hollywood Knights, The (1980)
7. Adventures in Babysitting (1987)
8. Weird Science (1985)
9. Married to the Mob (1988)
10. Christmas Vacation (1989)

Task:
Recommend the next 10 items the user would like, as a ranked list.
Return ONLY a JSON array of item titles (strings), length = 10.
","Watch history:
1. Fletch (1985)
2. Night Shift (1982)
3. Mr. Mom (1983)
4. Cocoon (1985)
5. Scrooged (1988)
6. Hollywood Knights, The (1980)
7. Adventures in Babysitting (1987)
8. Weird Science (1985)
9. Married to the Mob (1988)
10. Christmas Vacation (1989)",M,25-34,college/grad student,2457,Running Scared (1986)
"User profile (audit only):
- gender: M
- age: 25-34
- occupation: technician/engineer

Watch history:
1. Nineteen Eighty-Four (1984)
2. Face/Off (1997)
3. Escape from New York (1981)
4. Men in Black (1997)
5. Superman (1978)
6. Rocky Horror Picture Show, The (1975)
7. Spaceballs (1987)
8. Fifth Element, The (1997)
9. Dark City (1998)
10. Heavy Metal (1981)

Task:
Recommend the next 10 items the user would like, as a ranked list.
Return ONLY a JSON array of item titles (strings), length = 10.
","Watch history:
1. Nineteen Eighty-Four (1984)
2. Face/Off (1997)
3. Escape from New York (1981)
4. Men in Black (1997)
5. Superman (1978)
6. Rocky Horror Picture Show, The (1975)
7. Spaceballs (1987)
8. Fifth Element, The (1997)
9. Dark City (1998)
10. Heavy Metal (1981)",M,25-34,technician/engineer,2985,Robocop (1987)
"User profile (audit only):
- gender: M
- age: 50-55
- occupation: writer

Watch history:
1. Frankenstein (1931)
2. Palm Beach Story, The (1942)
3. Seventh Seal, The (Sjunde inseglet, Det) (1957)
4. Dr. Strangelove or: How I Learned to Stop Worrying and Love the Bomb (1963)
5. 8 1/2 (1963)
6. Breaking Away (1979)
7. Persuasion (1995)
8. All About Eve (1950)
9. Three Colors: White (1994)
10. Rear Window (1954)

Task:
Recommend the next 10 items the user would like, as a ranked list.
Return ONLY a JSON array of item titles (strings), length = 10.
","Watch history:
1. Frankenstein (1931)
2. Palm Beach Story, The (1942)
3. Seventh Seal, The (Sjunde inseglet, Det) (1957)
4. Dr. Strangelove or: How I Learned to Stop Worrying and Love the Bomb (1963)
5. 8 1/2 (1963)
6. Breaking Away (1979)
7. Persuasion (1995)
8. All About Eve (1950)
9. Three Colors: White (1994)
10. Rear Window (1954)",M,50-55,writer,1089,Reservoir Dogs (1992)
"User profile (audit only):
- gender: F
- age: 45-49
- occupation: self-employed

Watch history:
1. Body Snatcher, The (1945)
2. Little Shop of Horrors, The (1960)
3. Tingler, The (1959)
4. Gremlins (1984)
5. Gremlins 2: The New Batch (1990)
6. House on Haunted Hill (1958)
7. Body Snatchers (1993)
8. Bram Stoker's Dracula (1992)
9. Frankenstein Meets the Wolf Man (1943)
10. Eyes Without a Face (1959)

Task:
Recommend the next 10 items the user would like, as a ranked list.
Return ONLY a JSON array of item titles (strings), length = 10.
","Watch history:
1. Body Snatcher, The (1945)
2. Little Shop of Horrors, The (1960)
3. Tingler, The (1959)
4. Gremlins (1984)
5. Gremlins 2: The New Batch (1990)
6. House on Haunted Hill (1958)
7. Body Snatchers (1993)
8. Bram Stoker's Dracula (1992)
9. Frankenstein Meets the Wolf Man (1943)
10. Eyes Without a Face (1959)",F,45-49,self-employed,2367,King Kong (1976)
"User profile (audit only):
- gender: F
- age: 25-34
- occupation: college/grad student

Watch history:
1. Man on the Moon (1999)
2. Midsummer Night's Dream, A (1999)
3. Love Letter, The (1999)
4. Me, Myself and Irene (2000)
5. Never Been Kissed (1999)
6. Mission: Impossible 2 (2000)
7. Mystery Men (1999)
8. Mosquito Coast, The (1986)
9. Playing by Heart (1998)
10. Office Space (1999)

Task:
Recommend the next 10 items the user would like, as a ranked list.
Return ONLY a JSON array of item titles (strings), length = 10.
","Watch history:
1. Man on the Moon (1999)
2. Midsummer Night's Dream, A (1999)
3. Love Letter, The (1999)
4. Me, Myself and Irene (2000)
5. Never Been Kissed (1999)
6. Mission: Impossible 2 (2000)
7. Mystery Men (1999)
8. Mosquito Coast, The (1986)
9. Playing by Heart (1998)
10. Office Space (1999)",F,25-34,college/grad student,1959,Out of Africa (1985)
"User profile (audit only):
- gender: F
- age: 45-49
- occupation: other

Watch history:
1. Ghostbusters (1984)
2. Marcello Mastroianni: I Remember Yes, I Remember (1997)
3. Belle de jour (1967)
4. Maurice (1987)
5. Godfather, The (1972)
6. Citizen Kane (1941)
7. Fargo (1996)
8. Three Colors: Red (1994)
9. Star Wars: Episode IV - A New Hope (1977)
10. Amadeus (1984)

Task:
Recommend the next 10 items the user would like, as a ranked list.
Return ONLY a JSON array of item titles (strings), length = 10.
","Watch history:
1. Ghostbusters (1984)
2. Marcello Mastroianni: I Remember Yes, I Remember (1997)
3. Belle de jour (1967)
4. Maurice (1987)
5. Godfather, The (1972)
6. Citizen Kane (1941)
7. Fargo (1996)
8. Three Colors: Red (1994)
9. Star Wars: Episode IV - A New Hope (1977)
10. Amadeus (1984)",F,45-49,other,593,"Silence of the Lambs, The (1991)"
