prompt,context,gender,age,occupation,target_mid,target_title
"User profile (audit only):
- gender: M
- age: 55-64
- occupation: sales/marketing

Watch history:
1. Saving Mr. Banks
2. Gravity 2013  Region Free
3. Rizzoli &amp; Isles:  Season 4
4. Lee Daniels' The Butler
5. 12 Years a Slave
6. Dallas Buyers Club
7. The Legend of Hercules (Blu-ray)
8. Ultimate Life
9. Finding Normal
10. Undercover Bridesmaid

Task:
Recommend the next 10 items the user would like, as a ranked list.
Return ONLY a JSON array of item titles (strings), length = 10.
","Watch history:
1. Saving Mr. Banks
2. Gravity 2013  Region Free
3. Rizzoli &amp; Isles:  Season 4
4. Lee Daniels' The Butler
5. 12 Years a Slave
6. Dallas Buyers Club
7. The Legend of Hercules (Blu-ray)
8. Ultimate Life
9. Finding Normal
10. Undercover Bridesmaid",M,55-64,sales/marketing,B00LOCL7DW,A Snow Globe Christmas
"User profile (audit only):
- gender: F
- age: 25-34
- occupation: college/grad student

Watch history:
1. GUMBALL RALLY (DVD)
2. The Nice Guys
3. Fox Horror Classics Collection: (The Lodger / Hangover Square / The Undying Monster)
4. Tales From the Darkside: Complete Series Pack
5. Grease / Saturday Night Fever
6. The Monster of Piedras Blancas VHS
7. Supernatural: Season 11
8. Family Matters: Season 9
9. Grimm: Season Five
10. 3-D Rarities

Task:
Recommend the next 10 items the user would like, as a ranked list.
Return ONLY a JSON array of item titles (strings), length = 10.
","Watch history:
1. GUMBALL RALLY (DVD)
2. The Nice Guys
3. Fox Horror Classics Collection: (The Lodger / Hangover Square / The Undying Monster)
4. Tales From the Darkside: Complete Series Pack
5. Grease / Saturday Night Fever
6. The Monster of Piedras Blancas VHS
7. Supernatural: Season 11
8. Family Matters: Season 9
9. Grimm: Season Five
10. 3-D Rarities",F,25-34,college/grad student,B0016KHA10,The Good Witch
"User profile (audit only):
- gender: F
- age: 45-54
- occupation: self-employed

Watch history:
1. Serial Mom VHS
2. Final Destination Collection: 4 Film Favorites ( Final Destination Collection 1 / Final Destination Collection 2 / Final Destination Collection 3 /Final Destination Collection 4)
3. Born Innocent VHS
4. Final Destination 5 (DVD)
5. Inquisition
6. Back to the Future: The Complete Adventures
7. Intruders
8. The Unholy VHS
9. Murders in the Rue Morgue / The Dunwich Horror
10. Ava's Possessions

Task:
Recommend the next 10 items the user would like, as a ranked list.
Return ONLY a JSON array of item titles (strings), length = 10.
","Watch history:
1. Serial Mom VHS
2. Final Destination Collection: 4 Film Favorites ( Final Destination Collection 1 / Final Destination Collection 2 / Final Destination Collection 3 /Final Destination Collection 4)
3. Born Innocent VHS
4. Final Destination 5 (DVD)
5. Inquisition
6. Back to the Future: The Complete Adventures
7. Intruders
8. The Unholy VHS
9. Murders in the Rue Morgue / The Dunwich Horror
10. Ava's Possessions",F,45-54,self-employed,6305972028,Hellraiser / Hellbound: Hellraiser II Tin
"User profile (audit only):
- gender: M
- age: 55-64
- occupation: college/grad student

Watch history:
1. Phantasm 3:Lord of the Dead VHS
2. Futureworld VHS
3. V - The Final Battle VHS
4. Cemetery Man VHS
5. If VHS
6. Rose Red [VHS]
7. Pirates of the Caribbean: The Curse of the Black Pearl
8. Beyond Re Animator VHS
9. Barbra Streisand: A Happening In Central Park VHS
10. Return of the Living Dead: Necropolis

Task:
Recommend the next 10 items the user would like, as a ranked list.
Return ONLY a JSON array of item titles (strings), length = 10.
","Watch history:
1. Phantasm 3:Lord of the Dead VHS
2. Futureworld VHS
3. V - The Final Battle VHS
4. Cemetery Man VHS
5. If VHS
6. Rose Red [VHS]
7. Pirates of the Caribbean: The Curse of the Black Pearl
8. Beyond Re Animator VHS
9. Barbra Streisand: A Happening In Central Park VHS
10. Return of the Living Dead: Necropolis",M,55-64,college/grad student,B000IOM9VQ,Hot Fuzz Region 2
"User profile (audit only):
- gender: F
- age: 45-54
- occupation: self-employed

Watch history:
1. Foyle's War: Set Four
2. Religulous
3. Appaloosa
4. Cadfael - One Corpse Too Many
5. The Warriors VHS
6. Palm Beach Story VHS
7. Secrets of War - The Complete 65 Episode Series
8. Thief
9. Wyatt Earp VHS
10. White Palace VHS

Task:
Recommend the next 10 items the user would like, as a ranked list.
Return ONLY a JSON array of item titles (strings), length = 10.
","Watch history:
1. Foyle's War: Set Four
2. Religulous
3. Appaloosa
4. Cadfael - One Corpse Too Many
5. The Warriors VHS
6. Palm Beach Story VHS
7. Secrets of War - The Complete 65 Episode Series
8. Thief
9. Wyatt Earp VHS
10. White Palace VHS",F,45-54,self-employed,B00000JNBC,White Palace VHS
"User profile (audit only):
- gender: F
- age: 35-44
- occupation: clerical/admin

Watch history:
1. Guardians of the Galaxy Vol. 1
2. Stargate SG-U: Season 2.0
3. Torchwood: Season 2
4. Torchwood: Season 2
5. Torchwood: Children of Earth
6. The Barbarian and The Geisha VHS
7. Murphy's War VHS
8. Murder on the Orient Express VHS
9. Death on the Nile VHS
10. Evil Under the Sun VHS

Task:
Recommend the next 10 items the user would like, as a ranked list.
Return ONLY a JSON array of item titles (strings), length = 10.
","Watch history:
1. Guardians of the Galaxy Vol. 1
2. Stargate SG-U: Season 2.0
3. Torchwood: Season 2
4. Torchwood: Season 2
5. Torchwood: Children of Earth
6. The Barbarian and The Geisha VHS
7. Murphy's War VHS
8. Murder on the Orient Express VHS
9. Death on the Nile VHS
10. Evil Under the Sun VHS",F,35-44,clerical/admin,B003U0AHBO,Robin Hood
"User profile (audit only):
- gender: F
- age: 35-44
- occupation: unemployed

Watch history:
1. Blacula VHS
2. Beauty and the Beast: Season 2
3. Beauty and the Beast - The Final Season
4. Beauty and the Beast - The Final Season
5. Beauty and the Beast - The Complete Series
6. Deep Cover VHS
7. Ab Bootcamp
8. Billy Blanks: Ultimate Tae Bo
9. Just Another Girl on the I.R.T.
10. She's Gotta Have It VHS

Task:
Recommend the next 10 items the user would like, as a ranked list.
Return ONLY a JSON array of item titles (strings), length = 10.
","Watch history:
1. Blacula VHS
2. Beauty and the Beast: Season 2
3. Beauty and the Beast - The Final Season
4. Beauty and the Beast - The Final Season
5. Beauty and the Beast - The Complete Series
6. Deep Cover VHS
7. Ab Bootcamp
8. Billy Blanks: Ultimate Tae Bo
9. Just Another Girl on the I.R.T.
10. She's Gotta Have It VHS",F,35-44,unemployed,B000LXH0AY,Rent
"User profile (audit only):
- gender: F
- age: 45-54
- occupation: K-12 student

Watch history:
1. Mary Tyler Moore Seasons 1 2 3 4 5 6 7 1-7 Complete Series
2. The JFK Collection
3. Boys Next Door VHS
4. The Other Sister VHS
5. The Jason Bourne Collection (The Bourne Identity / The Bourne Supremacy / The Bourne Ultimatum)
6. The Jason Bourne Collection (The Bourne Identity / The Bourne Supremacy / The Bourne Ultimatum)
7. A Mom for Christmas
8. Burlesque
9. Cher: The Film Collection (Good Times / Chastity / Silkwood / Moonstruck / Mermaids / Tea with Mussolini)
10. Ethel

Task:
Recommend the next 10 items the user would like, as a ranked list.
Return ONLY a JSON array of item titles (strings), length = 10.
","Watch history:
1. Mary Tyler Moore Seasons 1 2 3 4 5 6 7 1-7 Complete Series
2. The JFK Collection
3. Boys Next Door VHS
4. The Other Sister VHS
5. The Jason Bourne Collection (The Bourne Identity / The Bourne Supremacy / The Bourne Ultimatum)
6. The Jason Bourne Collection (The Bourne Identity / The Bourne Supremacy / The Bourne Ultimatum)
7. A Mom for Christmas
8. Burlesque
9. Cher: The Film Collection (Good Times / Chastity / Silkwood / Moonstruck / Mermaids / Tea with Mussolini)
10. Ethel",F,45-54,K-12 student,B00HZVX14O,The Legend of Lizzie Borden
"User profile (audit only):
- gender: M
- age: 55-64
- occupation: college/grad student

Watch history:
1. Fright Night
2. Planes, Trains And Automobiles VHS
3. Legally Blonde
4. Tim Burton's The Nightmare Before Christmas VHS
5. Santa Claus Is Comin' To Town VHS
6. Heathers VHS
7. Disney Sing Along Songs: Friend Like Me: Volume Eleven VHS
8. Rock 'n' Roll High School VHS
9. The Usual Suspects, Letterbox Edition VHS
10. Usual Suspects/Director's Gift Pack VHS

Task:
Recommend the next 10 items the user would like, as a ranked list.
Return ONLY a JSON array of item titles (strings), length = 10.
","Watch history:
1. Fright Night
2. Planes, Trains And Automobiles VHS
3. Legally Blonde
4. Tim Burton's The Nightmare Before Christmas VHS
5. Santa Claus Is Comin' To Town VHS
6. Heathers VHS
7. Disney Sing Along Songs: Friend Like Me: Volume Eleven VHS
8. Rock 'n' Roll High School VHS
9. The Usual Suspects, Letterbox Edition VHS
10. Usual Suspects/Director's Gift Pack VHS",M,55-64,college/grad student,B00005V3Z4,Donnie Darko
"User profile (audit only):
- gender: F
- age: 25-34
- occupation: lawyer

Watch history:
1. Mongol: The Early Years of Genghis Khan
2. The Golden Blade
3. The Thief of Bagdad VHS
4. Sundown
5. Cabiria
6. The Man Who Would Be King VHS
7. Big Driver Digital
8. The Expendables
9. The Expendables 2
10. Roger Corman's Cult Classics Sword And Sorcery Collection (Deathstalker, Deathstalker II, The Warrior And The Sorceress &amp; Barbarian Queen)

Task:
Recommend the next 10 items the user would like, as a ranked list.
Return ONLY a JSON array of item titles (strings), length = 10.
","Watch history:
1. Mongol: The Early Years of Genghis Khan
2. The Golden Blade
3. The Thief of Bagdad VHS
4. Sundown
5. Cabiria
6. The Man Who Would Be King VHS
7. Big Driver Digital
8. The Expendables
9. The Expendables 2
10. Roger Corman's Cult Classics Sword And Sorcery Collection (Deathstalker, Deathstalker II, The Warrior And The Sorceress &amp; Barbarian Queen)",F,25-34,lawyer,B002C1ZMQW,Quentin Durward
"User profile (audit only):
- gender: M
- age: 55-64
- occupation: artist

Watch history:
1. Olive Kitteridge Region 2  UK
2. The Fisher King
3. Afterlife: Series Two
4. Gates of Heaven / Vernon, Florida
5. Silent Witness: Season 17
6. Scott &amp; Bailey: Series Two [Import: Non-USA Format]
7. Nurse Jackie: Season 6
8. Homeland Season 4
9. Midsomer Murders, Set 25
10. Web Therapy: Season 2

Task:
Recommend the next 10 items the user would like, as a ranked list.
Return ONLY a JSON array of item titles (strings), length = 10.
","Watch history:
1. Olive Kitteridge Region 2  UK
2. The Fisher King
3. Afterlife: Series Two
4. Gates of Heaven / Vernon, Florida
5. Silent Witness: Season 17
6. Scott &amp; Bailey: Series Two [Import: Non-USA Format]
7. Nurse Jackie: Season 6
8. Homeland Season 4
9. Midsomer Murders, Set 25
10. Web Therapy: Season 2",M,55-64,artist,B00O0292FI,Magic in the Moonlight
"User profile (audit only):
- gender: F
- age: 18-24
- occupation: retired

Watch history:
1. Brave (Mandarin Chinese Edition)
2. The Great Muppet Caper VHS
3. Remember the Titans VHS
4. Star Trek The Next Generation - The Complete Fifth Season
5. The Dukes of Hazzard: Season 1
6. The Lion King Movie Collection (The Lion King / The Lion King 2: Simba's Pride / The Lion King 1 1/2)
7. Star Trek Enterprise - The Complete Second Season
8. Muppet Treasure Island VHS
9. Rent
10. The Addams Family / Addams Family Values

Task:
Recommend the next 10 items the user would like, as a ranked list.
Return ONLY a JSON array of item titles (strings), length = 10.
","Watch history:
1. Brave (Mandarin Chinese Edition)
2. The Great Muppet Caper VHS
3. Remember the Titans VHS
4. Star Trek The Next Generation - The Complete Fifth Season
5. The Dukes of Hazzard: Season 1
6. The Lion King Movie Collection (The Lion King / The Lion King 2: Simba's Pride / The Lion King 1 1/2)
7. Star Trek Enterprise - The Complete Second Season
8. Muppet Treasure Island VHS
9. Rent
10. The Addams Family / Addams Family Values",F,18-24,retired,B000GIXIN2,"The Munsters: Two-Movie Fright Fest (Munster, Go Home! &amp; The Munsters' Revenge)"
"User profile (audit only):
- gender: F
- age: 25-34
- occupation: customer service

Watch history:
1. Lark Rise To Candleford - Series 3 Region Free
2. Lark Rise to Candleford: Season 4
3. Titanic VHS
4. Christmas Miracle
5. Red 2
6. Mr Selfridge: Season 1
7. The Hunger Games: Catching Fire 2013
8. Saving Mr. Banks
9. The Help
10. 9 to 5 VHS

Task:
Recommend the next 10 items the user would like, as a ranked list.
Return ONLY a JSON array of item titles (strings), length = 10.
","Watch history:
1. Lark Rise To Candleford - Series 3 Region Free
2. Lark Rise to Candleford: Season 4
3. Titanic VHS
4. Christmas Miracle
5. Red 2
6. Mr Selfridge: Season 1
7. The Hunger Games: Catching Fire 2013
8. Saving Mr. Banks
9. The Help
10. 9 to 5 VHS",F,25-34,customer service,B001N26GFM,The Boy in the Striped Pajamas
"User profile (audit only):
- gender: F
- age: 45-54
- occupation: self-employed

Watch history:
1. Rise of the Planet of the Apes
2. The Hobbit: The Desolation of Smaug
3. The Hobbit: An Unexpected Journey
4. Dawn of the Planet of the Apes
5. Captain America: The Winter Soldier
6. This is the End
7. Godzilla [DVD] [2014]
8. How to Train Your Dragon 2
9. A Million Ways to Die in the West 2014
10. Guardians of the Galaxy

Task:
Recommend the next 10 items the user would like, as a ranked list.
Return ONLY a JSON array of item titles (strings), length = 10.
","Watch history:
1. Rise of the Planet of the Apes
2. The Hobbit: The Desolation of Smaug
3. The Hobbit: An Unexpected Journey
4. Dawn of the Planet of the Apes
5. Captain America: The Winter Soldier
6. This is the End
7. Godzilla [DVD] [2014]
8. How to Train Your Dragon 2
9. A Million Ways to Die in the West 2014
10. Guardians of the Galaxy",F,45-54,self-employed,B00Q0G2VXM,Guardians Of The Galaxy Region Free
"User profile (audit only):
- gender: M
- age: 55-64
- occupation: clerical/admin

Watch history:
1. Last Vegas
2. Escape Plan
3. Gladiator VHS
4. King Arthur
5. Space Cowboys
6. Free Birds
7. The Departed
8. Back To School
9. Airplane VHS
10. Meet the Parents

Task:
Recommend the next 10 items the user would like, as a ranked list.
Return ONLY a JSON array of item titles (strings), length = 10.
","Watch history:
1. Last Vegas
2. Escape Plan
3. Gladiator VHS
4. King Arthur
5. Space Cowboys
6. Free Birds
7. The Departed
8. Back To School
9. Airplane VHS
10. Meet the Parents",M,55-64,clerical/admin,B00005JN5T,Meet the Fockers
"User profile (audit only):
- gender: M
- age: 55-64
- occupation: scientist

Watch history:
1. The Last Unicorn VHS
2. Dot and The Kangaroo VHS
3. The NeverEnding Story VHS
4. Fifty Shades of Grey
5. Kung Fu Panda (Mandarin Chinese Edition)
6. Star Wars Trilogy THX Digitally Mastered Edition
7. Star Wars Trilogy Episodes I-III (Mandarin Chinese Edition)
8. The Polar Express
9. Star Wars Trilogia Episodios 1,2 y 3 Espa&ntilde;ol Latino
10. Outlander - Season 1

Task:
Recommend the next 10 items the user would like, as a ranked list.
Return ONLY a JSON array of item titles (strings), length = 10.
","Watch history:
1. The Last Unicorn VHS
2. Dot and The Kangaroo VHS
3. The NeverEnding Story VHS
4. Fifty Shades of Grey
5. Kung Fu Panda (Mandarin Chinese Edition)
6. Star Wars Trilogy THX Digitally Mastered Edition
7. Star Wars Trilogy Episodes I-III (Mandarin Chinese Edition)
8. The Polar Express
9. Star Wars Trilogia Episodios 1,2 y 3 Espa&ntilde;ol Latino
10. Outlander - Season 1",M,55-64,scientist,B00M0GMBMC,Outlander
"User profile (audit only):
- gender: M
- age: 55-64
- occupation: K-12 student

Watch history:
1. Day of the Triffids VHS
2. Saturn 3 VHS
3. Scrooged
4. The Blob
5. The Santa Clause Movie Collection
6. NCIS - Seasons 1-5
7. Hatari VHS
8. Mister Roberts VHS
9. No Time for Sergeants VHS
10. The Time Machine Collector's Set

Task:
Recommend the next 10 items the user would like, as a ranked list.
Return ONLY a JSON array of item titles (strings), length = 10.
","Watch history:
1. Day of the Triffids VHS
2. Saturn 3 VHS
3. Scrooged
4. The Blob
5. The Santa Clause Movie Collection
6. NCIS - Seasons 1-5
7. Hatari VHS
8. Mister Roberts VHS
9. No Time for Sergeants VHS
10. The Time Machine Collector's Set",M,55-64,K-12 student,B000057II5,The Wackiest Ship in the Army VHS
"User profile (audit only):
- gender: F
- age: 18-24
- occupation: farmer

Watch history:
1. Damages: Season 3
2. The Dark Knight Rises
3. Damages: Season 4
4. Ox Bow Incident VHS
5. Death Wish Triple Pack (Death Wish 2 / Death Wish 3 / Death Wish 4)
6. Death Wish Triple Pack (Death Wish 2 / Death Wish 3 / Death Wish 4)
7. Arthur Hailey's Detective
8. Gone But Not Forgotten
9. Parker
10. Snitch

Task:
Recommend the next 10 items the user would like, as a ranked list.
Return ONLY a JSON array of item titles (strings), length = 10.
","Watch history:
1. Damages: Season 3
2. The Dark Knight Rises
3. Damages: Season 4
4. Ox Bow Incident VHS
5. Death Wish Triple Pack (Death Wish 2 / Death Wish 3 / Death Wish 4)
6. Death Wish Triple Pack (Death Wish 2 / Death Wish 3 / Death Wish 4)
7. Arthur Hailey's Detective
8. Gone But Not Forgotten
9. Parker
10. Snitch",F,18-24,farmer,B00AZMFONG,Stand Up Guys
"User profile (audit only):
- gender: F
- age: 35-44
- occupation: clerical/admin

Watch history:
1. Groovie Goolies
2. Daktari: Season 1
3. SilverHawks
4. Automan: Complete Series [Region 2]
5. The Adventures of Batman: The Complete Series
6. ThunderCats: The Complete Series
7. Confessions of a Young American Housewife
8. Confessions of a Young American Housewife
9. Premiers Desirs
10. Tendres Cousines

Task:
Recommend the next 10 items the user would like, as a ranked list.
Return ONLY a JSON array of item titles (strings), length = 10.
","Watch history:
1. Groovie Goolies
2. Daktari: Season 1
3. SilverHawks
4. Automan: Complete Series [Region 2]
5. The Adventures of Batman: The Complete Series
6. ThunderCats: The Complete Series
7. Confessions of a Young American Housewife
8. Confessions of a Young American Housewife
9. Premiers Desirs
10. Tendres Cousines",F,35-44,clerical/admin,B004N21KIC,Bloomington
"User profile (audit only):
- gender: M
- age: 18-24
- occupation: tradesman/craftsman

Watch history:
1. I'll Follow You Down
2. Elizabeth's Gift
3. Little Ghost VHS
4. Star Trek - The Next Generation, Episode 74: The Best Of Both Worlds, Part I VHS
5. Star Trek The Next Generation - The Complete Second Season
6. Star Trek The Next Generation - The Complete Third Season
7. Star Trek The Next Generation - The Complete Fifth Season
8. Star Trek The Next Generation - The Complete Sixth Season
9. Star Trek - Deep Space Nine, Episode 6: Captive Pursuit VHS
10. Tinker Bell and the Legend of the Neverbeast

Task:
Recommend the next 10 items the user would like, as a ranked list.
Return ONLY a JSON array of item titles (strings), length = 10.
","Watch history:
1. I'll Follow You Down
2. Elizabeth's Gift
3. Little Ghost VHS
4. Star Trek - The Next Generation, Episode 74: The Best Of Both Worlds, Part I VHS
5. Star Trek The Next Generation - The Complete Second Season
6. Star Trek The Next Generation - The Complete Third Season
7. Star Trek The Next Generation - The Complete Fifth Season
8. Star Trek The Next Generation - The Complete Sixth Season
9. Star Trek - Deep Space Nine, Episode 6: Captive Pursuit VHS
10. Tinker Bell and the Legend of the Neverbeast",M,18-24,tradesman/craftsman,B017S3OP7A,The Martian
"User profile (audit only):
- gender: F
- age: 18-24
- occupation: technician/engineer

Watch history:
1. The Lincoln Lawyer
2. Thor
3. Star Trek XI
4. Primeval: Volume 2
5. The Hunger Games (2 Disc) [Region 2] [UK Import]
6. The River King
7. Downton Abbey - Series 4
8. Into The Woods
9. Big Hero 6
10. HERCULES

Task:
Recommend the next 10 items the user would like, as a ranked list.
Return ONLY a JSON array of item titles (strings), length = 10.
","Watch history:
1. The Lincoln Lawyer
2. Thor
3. Star Trek XI
4. Primeval: Volume 2
5. The Hunger Games (2 Disc) [Region 2] [UK Import]
6. The River King
7. Downton Abbey - Series 4
8. Into The Woods
9. Big Hero 6
10. HERCULES",F,18-24,technician/engineer,B009934S5M,Star Trek Into Darkness
